取引ID,日付,時間,取引タイプ,送信元口座,送信先口座,金額
1,2023-01-01,09:00,入金,口座A,,10000
2,2023-01-02,14:30,出金,,口座B,5000
3,2023-01-03,11:45,振込,口座A,口座C,2000
4,2023-01-04,16:20,出金,,口座D,10000
5,2023-01-05,08:10,入金,口座E,,3000
6,2023-01-06,13:15,振込,口座B,口座F,5000
7,2023-01-07,10:30,入金,口座G,,7000
8,2023-01-08,15:40,出金,,口座H,2000
9,2023-01-09,09:50,振込,口座C,口座I,8000
10,2023-01-10,12:00,入金,口座J,,4000
11,2023-01-11,14:20,出金,,口座K,3000
12,2023-01-12,11:15,振込,口座L,口座M,6000
13,2023-01-13,09:30,入金,口座N,,2000
14,2023-01-14,16:50,出金,,口座O,5000
15,2023-01-15,13:40,振込,口座P,口座Q,4000
16,2023-01-16,08:05,入金,口座R,,10000
17,2023-01-17,10:55,出金,,口座S,3000
18,2023-01-18,15:25,振込,口座T,口座U,7000
19,2023-01-19,11:10,入金,口座V,,5000
20,2023-01-20,14:15,出金,,口座W,2000
21,2023-01-21,09:20,振込,口座X,口座Y,9000
22,2023-01-22,12:35,入金,口座Z,,6000
23,2023-01-23,15:55,出金,,口座AA,5000
24,2023-01-24,10:45,振込,口座BB,口座CC,3000
25,2023-01-25,13:25,入金,口座DD,,8000
26,2023-01-26,16:10,出金,,口座EE,4000
27,2023-01-27,11:30,振込,口座FF,口座GG,6000
28,2023-01-28,09:15,入金,口座HH,,2000
29,2023-01-29,14:40,出金,,口座II,5000
30,2023-01-30,10:20,振込,口座JJ,口座KK,3000
31,2023-01-31,12:50,入金,口座LL,,9000
32,2023-02-01,08:30,出金,,口座MM,2000
33,2023-02-02,15:15,振込,口座NN,口座OO,4000
34,2023-02-03,11:05,入金,口座PP,,7000
35,2023-02-04,14:55,出金,,口座QQ,5000
36,2023-02-05,09:35,振込,口座RR,口座SS,6000
37,2023-02-06,12:25,入金,口座TT,,3000
38,2023-02-07,16:05,出金,,口座UU,8000
39,2023-02-08,10:50,振込,口座VV,口座WW,2000
40,2023-02-09,13:15,入金,口座XX,,5000
41,2023-02-10,09:00,出金,,口座YY,4000
42,2023-02-11,14:30,振込,口座ZZ,口座AAA,7000
43,2023-02-12,11:45,入金,口座BBB,,9000
44,2023-02-13,16:20,出金,,口座CCC,2000
45,2023-02-14,08:10,振込,口座DDD,口座EEE,8000
46,2023-02-15,13:15,入金,口座FFF,,4000
47,2023-02-16,10:30,出金,,口座GGG,3000
48,2023-02-17,15:40,振込,口座HHH,口座III,5000
49,2023-02-18,09:50,入金,口座JJJ,,6000
50,2023-02-19,12:00,出金,,口座KKK,2000
